MB147 Q0 318021105094897665 1 8.510438 2013-2013-baseline# TResult(id:318021105094897665, rsv:8.510437965393066, screen_name:ItsZakGodard, epoch:1364657114, text:The Victoria Secret commercials make commercials worth watching., followers_count:623, statuses_count:8101, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306684492788146176 729 5.265027 2013-2013-baseline# TResult(id:306684492788146176, rsv:5.265026569366455, screen_name:lewisnottyl, epoch:1361954255, text:Was she attacked just for working in Victoria Secrets?, followers_count:40, statuses_count:50, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 302926044095193088 730 5.265027 2013-2013-baseline# TResult(id:302926044095193088, rsv:5.265026569366455, screen_name:imsammyandinoit, epoch:1361058171, text:Victoria Secretes bathing suites just came in #legooo, followers_count:168, statuses_count:2352, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 302917152170725377 731 5.265027 2013-2013-baseline# TResult(id:302917152170725377, rsv:5.265026569366455, screen_name:moniquealainee, epoch:1361056051, text:Crap! I need my Victoria secret sweats back, followers_count:206, statuses_count:4991, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309519158624788480 732 5.265027 2013-2013-baseline# TResult(id:309519158624788480, rsv:5.265026569366455, screen_name:lexydever_, epoch:1362630092, text:Victoria's Secret models make my hate myself..., followers_count:68, statuses_count:3081, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 311585310540713984 733 5.265027 2013-2013-baseline# TResult(id:311585310540713984, rsv:5.265026569366455, screen_name:MeganDoherty11, epoch:1363122701, text:Looking at the Victoria's secret magazine pisses me off., followers_count:302, statuses_count:5961, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300327769248759809 734 5.265027 2013-2013-baseline# TResult(id:300327769248759809, rsv:5.265026569366455, screen_name:FANDOLLFACE, epoch:1360438694, text:@DJBre7 where is that victorias secret event ?, followers_count:2730, statuses_count:53137, lang:null, in_reply_to_status_id:300319693871386625, in_reply_to_user_id:38420855, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317442928677117952 735 5.265027 2013-2013-baseline# TResult(id:317442928677117952, rsv:5.265026569366455, screen_name:leasiaRenee, epoch:1364519266, text:I need to go to Victoria secret tmrw, followers_count:585, statuses_count:25355, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306947962179817473 736 5.265027 2013-2013-baseline# TResult(id:306947962179817473, rsv:5.265026569366455, screen_name:screwshannon, epoch:1362017071, text:I want one of those Victoria Secret selections., followers_count:263, statuses_count:2590, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306948230623666177 737 5.265027 2013-2013-baseline# TResult(id:306948230623666177, rsv:5.265026569366455, screen_name:blackthundaa6, epoch:1362017135, text:I wish Victoria's Secret was my closet., followers_count:301, statuses_count:3983, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310537057485348865 738 5.265027 2013-2013-baseline# TResult(id:310537057485348865, rsv:5.265026569366455, screen_name:DanielleAnzic, epoch:1362872778, text:I checked in at Victoria's Secret on #Yelp http://t.co/z3VhwL0Lhr, followers_count:79, statuses_count:43, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309086461624459264 739 5.265027 2013-2013-baseline# TResult(id:309086461624459264, rsv:5.265026569366455, screen_name:squiggg, epoch:1362526929, text:@madamkittys hahah I ordered the victorias secret valentines chocolate box, followers_count:208, statuses_count:19253, lang:null, in_reply_to_status_id:309086281982418944, in_reply_to_user_id:92570979, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 313071830590164993 740 5.265027 2013-2013-baseline# TResult(id:313071830590164993, rsv:5.265026569366455, screen_name:Hannahhh_xD, epoch:1363477115, text:I spend way too much money at Victorias Secret.., followers_count:221, statuses_count:9228, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 297908519829639169 741 5.265027 2013-2013-baseline# TResult(id:297908519829639169, rsv:5.265026569366455, screen_name:Gucci_Cue, epoch:1359861900, text:Spoke to the flyest girl in Victoria secret, followers_count:162, statuses_count:6090, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 305753248269234177 742 5.265027 2013-2013-baseline# TResult(id:305753248269234177, rsv:5.265026569366455, screen_name:_MacDaddyJay_, epoch:1361732229, text:To all Victoria's Secret models: LOVE ME, followers_count:424, statuses_count:20272, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304836008493608960 743 5.265027 2013-2013-baseline# TResult(id:304836008493608960, rsv:5.265026569366455, screen_name:biggbootygirrl, epoch:1361513542, text:Victoria Secrets shopping tomorrow ! helloooo new bras😍, followers_count:296, statuses_count:19932, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 297930367984353280 744 5.265027 2013-2013-baseline# TResult(id:297930367984353280, rsv:5.265026569366455, screen_name:cozywithniall, epoch:1359867109, text:#fakeconfessionnight people always mistake me for a victorias secret model, followers_count:1191, statuses_count:17636, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298587091145744384 745 5.265027 2013-2013-baseline# TResult(id:298587091145744384, rsv:5.265026569366455, screen_name:lauraandeee, epoch:1360023684, text:The guys who go into Victoria's Secret 😂 #awkwardexpressions, followers_count:194, statuses_count:150, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298591885226803201 746 5.265027 2013-2013-baseline# TResult(id:298591885226803201, rsv:5.265026569366455, screen_name:Haylee_Babiii, epoch:1360024827, text:Reppin that new Victoria's Secret #VerySexy #bestcoverage #amazingpushup http://t.co/gGt09SN6, followers_count:314, statuses_count:3089, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 311726935380217856 747 5.265027 2013-2013-baseline# TResult(id:311726935380217856, rsv:5.265026569366455, screen_name:TheDopeClient, epoch:1363156467, text:@Terrell_4 dang it can't be Victoria Secret every night, followers_count:946, statuses_count:33402, lang:null, in_reply_to_status_id:311726633327419394, in_reply_to_user_id:432596919, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 311195819053314048 748 5.265027 2013-2013-baseline# TResult(id:311195819053314048, rsv:5.265026569366455, screen_name:dgsantini23, epoch:1363029839, text:Yayyy my Victoria secret bathing suits came in todayyyy 👙, followers_count:202, statuses_count:8865, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300735182930075649 749 5.265027 2013-2013-baseline# TResult(id:300735182930075649, rsv:5.265026569366455, screen_name:makalieholman, epoch:1360535829, text:I wish I could buy everything in Victoria Secret #inlove, followers_count:269, statuses_count:3210, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300740757193650176 750 5.265027 2013-2013-baseline# TResult(id:300740757193650176, rsv:5.265026569366455, screen_name:addisonbranch, epoch:1360537158, text:Raffles for the Victoria's Secret indulge me partyyy 🎀 http://t.co/mAui6guG, followers_count:166, statuses_count:4415, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 299684052624105472 751 5.265027 2013-2013-baseline# TResult(id:299684052624105472, rsv:5.265026569366455, screen_name:lonasty13, epoch:1360285220, text:I'm disappointed by Victoria's Secret bathing suits this year 👙, followers_count:321, statuses_count:6834, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310666116236189696 752 5.265027 2013-2013-baseline# TResult(id:310666116236189696, rsv:5.265026569366455, screen_name:AyooCeline, epoch:1362903548, text:I Own A Pair Of Victoria Secret Pony Underwears!🐴😂😂😂, followers_count:96, statuses_count:1896, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 299688448263081984 753 5.265027 2013-2013-baseline# TResult(id:299688448263081984, rsv:5.265026569366455, screen_name:rayayazzie, epoch:1360286268, text:That's why I love Victoria Secret Pink sweats!, followers_count:90, statuses_count:8916, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298770457723809793 754 5.265027 2013-2013-baseline# TResult(id:298770457723809793, rsv:5.265026569366455, screen_name:elidiotafeliz, epoch:1360067402, text:Barbara Palvin for Victoria's Secret Lingerie September 2012. http://t.co/rRJZL3VG, followers_count:880, statuses_count:15748, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300151851721035776 755 5.265027 2013-2013-baseline# TResult(id:300151851721035776, rsv:5.265026569366455, screen_name:Master_Minh, epoch:1360396752, text:Lol dads watching Victoria secret fashion show at grandmas, followers_count:97, statuses_count:8631, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 313325279802175488 756 5.265027 2013-2013-baseline# TResult(id:313325279802175488, rsv:5.265026569366455, screen_name:DifferentB_, epoch:1363537542, text:Finally bought my Victoria secret bandue batheing suit 👏, followers_count:488, statuses_count:415, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306261199446736898 757 5.265027 2013-2013-baseline# TResult(id:306261199446736898, rsv:5.265026569366455, screen_name:tayyy76, epoch:1361853334, text:#ThingsGirlsLike shopping, zac Efron, Victoria secret., followers_count:183, statuses_count:30443, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316295300010606594 758 5.265027 2013-2013-baseline# TResult(id:316295300010606594, rsv:5.265026569366455, screen_name:madizone, epoch:1364245650, text:I spend way to much money at Victoria Secret, followers_count:311, statuses_count:56486, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306262935880228865 759 5.265027 2013-2013-baseline# TResult(id:306262935880228865, rsv:5.265026569366455, screen_name:CaitlinNoLgynn, epoch:1361853748, text:Being told I have Victoria Secret model hair, followers_count:41, statuses_count:56, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306265691554717696 760 5.265027 2013-2013-baseline# TResult(id:306265691554717696, rsv:5.265026569366455, screen_name:CarlyyRB_, epoch:1361854405, text:#ThingdGirlsLike Lacey underwear from Victoria Secret ;), followers_count:76, statuses_count:8822, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 315589407023439872 761 5.265027 2013-2013-baseline# TResult(id:315589407023439872, rsv:5.265026569366455, screen_name:vemidupuwa, epoch:1364077352, text:ViCtoRiA SeCreT SeXY UpsCale ErOtIc  2013 AnGeL http://t.co/xrNJMGC3Oy, followers_count:628, statuses_count:1497, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 299543702802681856 762 5.265027 2013-2013-baseline# TResult(id:299543702802681856, rsv:5.265026569366455, screen_name:chelseawelsch, epoch:1360251758, text:Now Victoria secret ?????, followers_count:295, statuses_count:1985, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300955073511579651 763 5.265027 2013-2013-baseline# TResult(id:300955073511579651, rsv:5.265026569366455, screen_name:spearsyvlq, epoch:1360588255, text:Victorias secret show comes on tonight.!:), followers_count:229, statuses_count:27, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304282737861332992 764 5.265027 2013-2013-baseline# TResult(id:304282737861332992, rsv:5.265026569366455, screen_name:BattywpiAnnie, epoch:1361381632, text:eatsomething The Victoria Secret models are too skinny. #eatsomething, followers_count:12, statuses_count:2, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310430077580095488 765 5.265027 2013-2013-baseline# TResult(id:310430077580095488, rsv:5.265026569366455, screen_name:MonicaSain, epoch:1362847272, text:Victorias Secret has taken over my life. #sevenhourshiftsforthewin, followers_count:216, statuses_count:2205, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 299699609285038080 766 5.265027 2013-2013-baseline# TResult(id:299699609285038080, rsv:5.265026569366455, screen_name:SmoochMyTweets, epoch:1360288929, text:I need to go Victoria's Secret shopping., followers_count:1569, statuses_count:90652, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317650043429609474 767 5.265027 2013-2013-baseline# TResult(id:317650043429609474, rsv:5.265026569366455, screen_name:thatbosnianyeah, epoch:1364568646, text:Is there a Victoria's Secret anywhere in the UK?, followers_count:587, statuses_count:11754, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 301171428315779074 768 5.265027 2013-2013-baseline# TResult(id:301171428315779074, rsv:5.265026569366455, screen_name:flxralvogue, epoch:1360639838, text:i want go victoria secret sia so badly ok, followers_count:1910, statuses_count:20342, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317826829148905473 769 5.265027 2013-2013-baseline# TResult(id:317826829148905473, rsv:5.265026569366455, screen_name:niikkii_pants, epoch:1364610795, text:Victoria secrets has the best bras ever 😍, followers_count:326, statuses_count:4390, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 305339702465159168 770 5.265027 2013-2013-baseline# TResult(id:305339702465159168, rsv:5.265026569366455, screen_name:JohnZoeSaid, epoch:1361633632, text:Behind the scenes Victoria's Secret  #Vlog 1 http://t.co/cZfMqZ1kZb, followers_count:404, statuses_count:10878, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316609503690899456 771 5.265027 2013-2013-baseline# TResult(id:316609503690899456, rsv:5.265026569366455, screen_name:HuffPostCanada, epoch:1364320562, text:Parents upset over new Victoria’s Secret slogan http://t.co/LJ6jf7JWdl via @huffpostcastyle, followers_count:2091, statuses_count:46293, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310252629143990273 772 5.265027 2013-2013-baseline# TResult(id:310252629143990273, rsv:5.265026569366455, screen_name:Jazmyn_Marieee, epoch:1362804965, text:Girl change into that victoria secret thing that I like, followers_count:658, statuses_count:6932, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308255481938464771 773 5.265027 2013-2013-baseline# TResult(id:308255481938464771, rsv:5.265026569366455, screen_name:amywltn, epoch:1362328808, text:meadowhall is getting a Victorias Secret 😱😱 #happyames, followers_count:412, statuses_count:1640, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310455084003782656 774 5.265027 2013-2013-baseline# TResult(id:310455084003782656, rsv:5.265026569366455, screen_name:madsburns, epoch:1362853234, text:Victoria Secret bathing suits are sooo cute but soooo expensive😩, followers_count:415, statuses_count:1347, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308254462730989568 775 5.265027 2013-2013-baseline# TResult(id:308254462730989568, rsv:5.265026569366455, screen_name:ChancLykins, epoch:1362328565, text:Victorias secret now comes in DDD guys., followers_count:119, statuses_count:3016, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304693918056972289 776 5.265027 2013-2013-baseline# TResult(id:304693918056972289, rsv:5.265026569366455, screen_name:WomensPin, epoch:1361479665, text:Victorias Secret Full Coverage Bra 2013, Black http://t.co/hP6q7CenXG, followers_count:15, statuses_count:69, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304686146020065282 777 5.265027 2013-2013-baseline# TResult(id:304686146020065282, rsv:5.265026569366455, screen_name:llaaurenS, epoch:1361477812, text:I want all of the bathing suits from Victoria's Secret, followers_count:204, statuses_count:7312, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 302762659172986881 778 5.265027 2013-2013-baseline# TResult(id:302762659172986881, rsv:5.265026569366455, screen_name:TwoTimesForYou, epoch:1361019217, text:“@FxckThat__: maybe a Victoria secrets one?” 👍, followers_count:1432, statuses_count:47632, lang:null, in_reply_to_status_id:302762117247938561, in_reply_to_user_id:56819833, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 301800871702982656 779 5.265027 2013-2013-baseline# TResult(id:301800871702982656, rsv:5.265026569366455, screen_name:livsaull_, epoch:1360789909, text:All of my Victoria's Secret bathing suits came 😍😍😍, followers_count:232, statuses_count:14725, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310888435315531776 780 5.265027 2013-2013-baseline# TResult(id:310888435315531776, rsv:5.265026569366455, screen_name:nao_5496, epoch:1362956553, text:Spending 70$ on a bra at victoria secret #DontJudgeMe, followers_count:201, statuses_count:2657, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 301811726553317377 781 5.265027 2013-2013-baseline# TResult(id:301811726553317377, rsv:5.265026569366455, screen_name:riah_1219, epoch:1360792497, text:With @kareebeear (@ Victoria's Secret) http://t.co/hPT6y5dD, followers_count:132, statuses_count:273, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 303395852259586048 782 5.265027 2013-2013-baseline# TResult(id:303395852259586048, rsv:5.265026569366455, screen_name:gangsta_lely, epoch:1361170182, text:change into that Victoria Secret thing that i like, followers_count:140, statuses_count:15077, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 303606490219036672 783 5.265027 2013-2013-baseline# TResult(id:303606490219036672, rsv:5.265026569366455, screen_name:daniipaige, epoch:1361220402, text:crying bc I missed the victorias secret private shopping event, followers_count:295, statuses_count:4951, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309692286906810368 784 5.265027 2013-2013-baseline# TResult(id:309692286906810368, rsv:5.265026569366455, screen_name:saidpurtown, epoch:1362671369, text:Breast improvement secrets even Victoria doesn't know. http://t.co/LxC5f0mLbG, followers_count:19687, statuses_count:3939, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298179140518023169 785 5.265027 2013-2013-baseline# TResult(id:298179140518023169, rsv:5.265026569366455, screen_name:SavKirby, epoch:1359926421, text:@_TheOracle13_ but I do like Victoria's Secret better, followers_count:187, statuses_count:3646, lang:en, in_reply_to_status_id:298178999186763776, in_reply_to_user_id:395569543, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308402194498068482 786 5.265027 2013-2013-baseline# TResult(id:308402194498068482, rsv:5.265026569366455, screen_name:Ms_PsychD, epoch:1362363787, text:I'm happy as a tranny in Victoria secret 👯👯👯👯, followers_count:260, statuses_count:17161, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 300381632479756289 787 5.265027 2013-2013-baseline# TResult(id:300381632479756289, rsv:5.265026569366455, screen_name:FatAmyPost, epoch:1360451536, text:I wish Victoria's Secret was my closet., followers_count:174, statuses_count:271, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316305831907966976 788 5.265027 2013-2013-baseline# TResult(id:316305831907966976, rsv:5.265026569366455, screen_name:ChloeFoster27, epoch:1364248161, text:@JackAllTimeLow Alex got a job at Victoria's Secret.... http://t.co/DDB1dqLDdc, followers_count:951, statuses_count:18780, lang:null, in_reply_to_status_id:316286094696136704, in_reply_to_user_id:18378446, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304079377023504384 789 5.265027 2013-2013-baseline# TResult(id:304079377023504384, rsv:5.265026569366455, screen_name:DISCOUNTSTYLE, epoch:1361333147, text:#VS Victoria's Secret #SALE #SPRINGBREAK #PINK #BEACH #FREESHIPPING  http://t.co/FxmcS1By, followers_count:15, statuses_count:247, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 304080362701729792 790 5.265027 2013-2013-baseline# TResult(id:304080362701729792, rsv:5.265026569366455, screen_name:neighasherrill, epoch:1361333382, text:@schroeder_luke2 bitches be like I wear Victoria's Secret!, followers_count:216, statuses_count:6256, lang:null, in_reply_to_status_id:304079951613812736, in_reply_to_user_id:851754403, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316274278171566082 791 5.265027 2013-2013-baseline# TResult(id:316274278171566082, rsv:5.265026569366455, screen_name:Alyssa_McNally, epoch:1364240638, text:@bryceson_W well im gonna be at victoria secret, followers_count:447, statuses_count:14251, lang:null, in_reply_to_status_id:316274158138953728, in_reply_to_user_id:400804675, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308368585556885504 792 5.265027 2013-2013-baseline# TResult(id:308368585556885504, rsv:5.265026569366455, screen_name:KylieSmiley, epoch:1362355774, text:Pretending to be a cute Victoria Secret model lol http://t.co/GapmvBtv0x, followers_count:80, statuses_count:2825, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308376051401244673 793 5.265027 2013-2013-baseline# TResult(id:308376051401244673, rsv:5.265026569366455, screen_name:Weap0n_X, epoch:1362357554, text:Girl change into that victoria secret thing that I like, followers_count:605, statuses_count:39367, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308367281132556288 794 5.265027 2013-2013-baseline# TResult(id:308367281132556288, rsv:5.265026569366455, screen_name:Mensajesyfrases, epoch:1362355463, text:Rihanna-Diamonds (Victoria's Secret): http://t.co/ZiWTX39MbI vía @youtube, followers_count:2370, statuses_count:8762, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 307872592323293184 795 5.265027 2013-2013-baseline# TResult(id:307872592323293184, rsv:5.265026569366455, screen_name:Bhaaaby_Brown, epoch:1362237520, text:"@axna_: Victoria secret bras are wonderfulllll", followers_count:352, statuses_count:91271, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 307875587056336896 796 5.265027 2013-2013-baseline# TResult(id:307875587056336896, rsv:5.265026569366455, screen_name:CouponSmartcom, epoch:1362238234, text:FREE Getaway Bag at Victoria’s Secret http://t.co/jdEf6pgDaC #Freebies #VictoriasSecret #Beauty, followers_count:2120, statuses_count:60763, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306157256217600000 797 5.265027 2013-2013-baseline# TResult(id:306157256217600000, rsv:5.265026569366455, screen_name:TheresaMarieP, epoch:1361828552, text:@siobhanvivian Victorias Secrets Love Spell does that to me., followers_count:710, statuses_count:5362, lang:null, in_reply_to_status_id:306156070605303809, in_reply_to_user_id:26408436, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317050719335235585 798 5.265027 2013-2013-baseline# TResult(id:317050719335235585, rsv:5.265026569366455, screen_name:MycaGardner_, epoch:1364425756, text:Taking Alex into Victoria's Secret. Oh god., followers_count:136, statuses_count:1661, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309539928830787585 799 5.265027 2013-2013-baseline# TResult(id:309539928830787585, rsv:5.265026569366455, screen_name:xoxShayyyxox, epoch:1362635044, text:My Victoria secret shipment came in today 😍👙, followers_count:125, statuses_count:9744, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317060190052679680 800 5.265027 2013-2013-baseline# TResult(id:317060190052679680, rsv:5.265026569366455, screen_name:bombshllbabe, epoch:1364428014, text:Unlimited gift card to Victoria's Secret please #addicted, followers_count:44, statuses_count:39, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317055836365131776 801 5.265027 2013-2013-baseline# TResult(id:317055836365131776, rsv:5.265026569366455, screen_name:kisssmy_x3, epoch:1364426976, text:@DarkNLovely_x lol you see the shut about Victoria Secret?, followers_count:417, statuses_count:46471, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
