MB128 Q0 304306200781156352 1 5.987014 2013-2013-baseline# TResult(id:304306200781156352, rsv:5.987013816833496, screen_name:amaadius, epoch:1361387226, text:amadius**** Shop online safely and securely on Phoenix Online Clothing:   Phoenixo Online Clothing is an onlin... http://t.co/K7MiKNSQ, followers_count:72, statuses_count:3851, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 307805277938413569 506 4.093570 2013-2013-baseline# TResult(id:307805277938413569, rsv:4.093569755554199, screen_name:tinaals, epoch:1362221471, text:Most of my time with Sam is spent with him looking at clothes online and me chilling on the sofa., followers_count:243, statuses_count:38421, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299036535972585472 507 4.093570 2013-2013-baseline# TResult(id:299036535972585472, rsv:4.093569755554199, screen_name:PremeSpeaksJoy, epoch:1360130840, text:Dear camera whores this is Facebook Not an online application for a job as a prostitute Sincerely put some clothes on., followers_count:196, statuses_count:5491, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 298602807202807808 508 4.093570 2013-2013-baseline# TResult(id:298602807202807808, rsv:4.093569755554199, screen_name:GYT_Quickie, epoch:1360027431, text:I'm addicted to shopping for shoes online and maybe some clothes ,saves me money and stress to go into a store #RS, followers_count:1576, statuses_count:23244, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 301519417127350274 509 4.093570 2013-2013-baseline# TResult(id:301519417127350274, rsv:4.093569755554199, screen_name:JlRACHI, epoch:1360722805, text:@OwlDolly sob why is it impossible to find nice clothes online ;~; so tempted to do a taobao order sighs, followers_count:231, statuses_count:36824, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309627442983759873 510 4.093570 2013-2013-baseline# TResult(id:309627442983759873, rsv:4.093569755554199, screen_name:247Fashionshop, epoch:1362655909, text:Online fashion for you: Merchants’ size charts make buying the correct size of clothing easy. As all merchants... http://t.co/A1wZjA12fq, followers_count:233, statuses_count:613, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306906761556791296 511 4.093570 2013-2013-baseline# TResult(id:306906761556791296, rsv:4.093569755554199, screen_name:Lary_Fisherman, epoch:1362007248, text:My little sister told me that i can buy clothes online for her once i turn 18, ha good one Bria #20days, followers_count:371, statuses_count:2196, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306906786726830082 512 4.093570 2013-2013-baseline# TResult(id:306906786726830082, rsv:4.093569755554199, screen_name:mgs_net_au, epoch:1362007254, text:Catalogue and Online Bidding Available - Bookshop Closure &amp; Clothing Liquidation Friday 1st March 2013 at 10:30 AM https://t.co/7Mrc4QKlaq, followers_count:0, statuses_count:27, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 317419046335283200 513 4.093570 2013-2013-baseline# TResult(id:317419046335283200, rsv:4.093569755554199, screen_name:ItsMichaelP, epoch:1364513572, text:Half the black people they shown downloaded her album online for free you can tell they didnt buy shit by their clothing.., followers_count:335, statuses_count:5599, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302803876610990080 514 4.093570 2013-2013-baseline# TResult(id:302803876610990080, rsv:4.093569755554199, screen_name:Jaimeertam, epoch:1361029044, text:I cant sleep bc of puking....so im online looking at extensions, clothes, leather jackets and boots. I have issues., followers_count:59, statuses_count:4, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302808490341179393 515 4.093570 2013-2013-baseline# TResult(id:302808490341179393, rsv:4.093569755554199, screen_name:INDIAS0CIAL, epoch:1361030144, text:\missguided Is An Online Shop Which Provides A Range Of Celebrity Led, Women\s Fashion Clothing.... http://t.co/nBHPAI6p icsp, followers_count:218, statuses_count:30934, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311015774355591168 516 4.093570 2013-2013-baseline# TResult(id:311015774355591168, rsv:4.093569755554199, screen_name:EazyAce_UC, epoch:1362986913, text:GO FOLLOW OUR NEW CLOTHING LINE @TheGalleryUSA , ONLINE SHOP IS NOW OPEN "VERY LIMITED" GET YOURS WHILE YOU CAN AT... http://t.co/5TNq4kxqNK, followers_count:237, statuses_count:6538, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308817510298439682 517 4.093570 2013-2013-baseline# TResult(id:308817510298439682, rsv:4.093569755554199, screen_name:kalireigna, epoch:1362462806, text:why can't order clothes from H&amp;M online ughhhhh just take my money i want those pants ):, followers_count:188, statuses_count:11750, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 305653474165669889 518 4.093570 2013-2013-baseline# TResult(id:305653474165669889, rsv:4.093569755554199, screen_name:JK51799, epoch:1361708441, text:I love online clothes shopping. Thank God for Lee's. They actually make regular jeans, not just skinny jeans., followers_count:96, statuses_count:9815, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306640486163152897 519 4.093570 2013-2013-baseline# TResult(id:306640486163152897, rsv:4.093569755554199, screen_name:TooColdSid, epoch:1361943763, text:snoopin' online for some clothes, accessories, &amp; shoes.. but idk what i wanna get -____- #TheStruggle, followers_count:294, statuses_count:20586, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308809343975964672 520 4.093570 2013-2013-baseline# TResult(id:308809343975964672, rsv:4.093569755554199, screen_name:0neLoveee_, epoch:1362460859, text:“@_kayloves: Looking at clothes online and at shoes is my distraction for lonely nights like these” same here seriously 🙊, followers_count:166, statuses_count:8138, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314438334808223744 521 4.093570 2013-2013-baseline# TResult(id:314438334808223744, rsv:4.093569755554199, screen_name:LESCLOTHINGCO, epoch:1363802915, text:Available In-Store and Online! $40.00 USD LES™ Clothing Co. Store located at 43 Clinton St. (Btwn Stanton &amp;... http://t.co/uskM6aI9SE, followers_count:173, statuses_count:4489, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303615755440762881 522 4.093570 2013-2013-baseline# TResult(id:303615755440762881, rsv:4.093569755554199, screen_name:azalea_dawn, epoch:1361222611, text:This morning I was bored and decided to go look at summer/spring clothes online. Getting impatient for warmer weather now.., followers_count:153, statuses_count:2, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308632507912450048 523 4.093570 2013-2013-baseline# TResult(id:308632507912450048, rsv:4.093569755554199, screen_name:LESCLOTHINGCO, epoch:1362418698, text:Available In-Store and Online! $40.00 USD LES™ Clothing Co. Store located at 43 Clinton St. (Btwn Stanton &amp;... http://t.co/saERFuGHh2, followers_count:172, statuses_count:4363, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299611931541663744 524 4.093570 2013-2013-baseline# TResult(id:299611931541663744, rsv:4.093569755554199, screen_name:tama_guitar, epoch:1360268025, text:does anyone know any good online shops for clothes ? ( i do not already know ^-^), followers_count:93, statuses_count:5362, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302875213325029376 525 4.093570 2013-2013-baseline# TResult(id:302875213325029376, rsv:4.093569755554199, screen_name:Iklan_Sidoarjo, epoch:1361046052, text:"Warung Sepatu Online" The Real Clothing Shoes Original HandMade, for More Info : PIN BB 2784437A / 0813-143-414-02 via @CekkyFuture, followers_count:26, statuses_count:2049, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 310757552046628865 526 4.093570 2013-2013-baseline# TResult(id:310757552046628865, rsv:4.093569755554199, screen_name:Updates1D_x3, epoch:1362925348, text:“@1Dupdatenews_: The online auctions for the boys clothes have raised £11,000 which will go straight to Comic Relief!” -S x, followers_count:383, statuses_count:81698, lang:null, in_reply_to_status_id:310757290288484352, in_reply_to_user_id:282942073, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303593240395911170 527 4.093570 2013-2013-baseline# TResult(id:303593240395911170, rsv:4.093569755554199, screen_name:alexandrramarie, epoch:1361217243, text:Waiting for clothes or shoes you ordered online feels like agggeees to finally get them. 3-5 days aka 3-5 years. 😁 #impatient, followers_count:255, statuses_count:10432, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 297791385539596288 528 4.093570 2013-2013-baseline# TResult(id:297791385539596288, rsv:4.093569755554199, screen_name:Homage2Fromage, epoch:1359833973, text:Have decided that pregnant women are massively discriminated against in clothes shops. Hardly any ranges, all online &amp; even that is minimal!, followers_count:1881, statuses_count:4846, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306861005894479872 529 4.093570 2013-2013-baseline# TResult(id:306861005894479872, rsv:4.093569755554199, screen_name:ItsMeganMcQueen, epoch:1361996339, text:This is what my day has co consisted of... In addition to browsing Pinterest &amp; clothing stores online.… http://t.co/GsmrggccYM, followers_count:154, statuses_count:1504, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302937762967982080 530 4.093570 2013-2013-baseline# TResult(id:302937762967982080, rsv:4.093569755554199, screen_name:SteamworksMarc, epoch:1361060965, text:my friends started an online clothing company @Citizen_Grace . Check them out as they have some pretty cool stuff for ladies, followers_count:170, statuses_count:246, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303259793244712961 531 4.093570 2013-2013-baseline# TResult(id:303259793244712961, rsv:4.093569755554199, screen_name:dj_webster_, epoch:1361137743, text:Support Local Talent - Check out our very own Proudly South African Online Music &amp; Clothing Store, Go to http://t.co/71fsiv4k !!, followers_count:1999, statuses_count:12423, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 298423890777079809 532 4.093570 2013-2013-baseline# TResult(id:298423890777079809, rsv:4.093569755554199, screen_name:ValenTips, epoch:1359984774, text:spring, summer, fall, winter, fashion, trends, collection, clothing, online, resources… http://t.co/IrZWFmxO, followers_count:10, statuses_count:9159, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302175532118851584 533 4.093570 2013-2013-baseline# TResult(id:302175532118851584, rsv:4.093569755554199, screen_name:wargasidoarjo, epoch:1360879235, text:"Warung Sepatu Online" The Real Clothing Shoes Original HandMade, for More Info : PIN BB 2784437A / 0813-143-414-02 via @CekkyFuture, followers_count:321, statuses_count:100213, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302183023149989888 534 4.093570 2013-2013-baseline# TResult(id:302183023149989888, rsv:4.093569755554199, screen_name:richellerenee_, epoch:1360881021, text:online 'browsing' is probably the worst decision i could have just made out of boredom. clothes&gt;&gt;&gt;bills #ohwell, followers_count:127, statuses_count:2423, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309838764597981184 535 4.093570 2013-2013-baseline# TResult(id:309838764597981184, rsv:4.093569755554199, screen_name:BeachHouseNJ, epoch:1362706292, text:Have you looked at our Classic Clothing in the online store. There's something for everyone. Take a look here:... http://t.co/WROUzOaxQ9, followers_count:22, statuses_count:1509, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308384406463184897 536 4.093570 2013-2013-baseline# TResult(id:308384406463184897, rsv:4.093569755554199, screen_name:selinamaariee, epoch:1362359546, text:I really should stop looking at clothes online cause it just reminds me that I'm too broke to buy them., followers_count:64, statuses_count:2444, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303872824328740864 537 4.093570 2013-2013-baseline# TResult(id:303872824328740864, rsv:4.093569755554199, screen_name:ILDealDaddy, epoch:1361283901, text:Clothing &amp; Accessories: Sofia – $150 Online Merchandise Credit - Chicago Illinois Discounts, Coupons, Promos &amp; D... http://t.co/vaXDQ73u, followers_count:0, statuses_count:5045, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302078912119320578 538 4.093570 2013-2013-baseline# TResult(id:302078912119320578, rsv:4.093569755554199, screen_name:zihasulyniw, epoch:1360856199, text:http://t.co/I0Yv5WCn acai products sold in clothes if buy brand acai online medicine fast Kentucky - how do you east acai berries, followers_count:0, statuses_count:363, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 307306612937326592 539 4.093570 2013-2013-baseline# TResult(id:307306612937326592, rsv:4.093569755554199, screen_name:thelmaslame, epoch:1362102580, text:looking at clothes, shoes, pipes, and stuff online knowing i won't get them -.- :c, followers_count:109, statuses_count:3238, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 312192427651895296 540 4.083694 2013-2013-baseline# TResult(id:312192427651895296, rsv:4.0836944580078125, screen_name:Iklan_terbaru, epoch:1363267449, text:New online shop! We sale clothes, dvd movie, dvd concert, dvd drama series, watchs, pants, and many moreee. Cek fav ;) (@zoedvdfilm), followers_count:12, statuses_count:26616, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306675277898072066 541 4.083694 2013-2013-baseline# TResult(id:306675277898072066, rsv:4.0836944580078125, screen_name:aifahSLee, epoch:1361952058, text:Guys, in a month later.. I'll use my twitter and fb acc as one of my business online.. Yeah! Selling some korean clothes only for women!, followers_count:172, statuses_count:10899, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 313974297989365760 542 4.083694 2013-2013-baseline# TResult(id:313974297989365760, rsv:4.0836944580078125, screen_name:ADELADDIN, epoch:1363692280, text:i dont know why online shops always name their clothes and stuff. like what makes an Amelia dress so Amelia that you hv to name it Amelia?, followers_count:256, statuses_count:53353, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315281004057223168 543 4.083694 2013-2013-baseline# TResult(id:315281004057223168, rsv:4.0836944580078125, screen_name:FxckedGill, epoch:1364003823, text:do you ever just look at clothes online and say why do I have no money ? then when you get money you can't find anything you like., followers_count:274, statuses_count:70, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 297214903591256065 544 4.083694 2013-2013-baseline# TResult(id:297214903591256065, rsv:4.0836944580078125, screen_name:dresseswomen, epoch:1359696529, text:http://t.co/ZTWIGZVH: Long Sleeve - Dresses / Women: Clothing: Results 1 - 48 of 182 ... Online shopping for Dres... http://t.co/BlBJ9Ei5, followers_count:0, statuses_count:7260, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302867864908611584 545 4.083694 2013-2013-baseline# TResult(id:302867864908611584, rsv:4.0836944580078125, screen_name:EvaInDisguise, epoch:1361044300, text:Looking at clothes online, when my brother (8) comes in and asked: ''can you hire those girls?'' he has no idea why i laughed so hard, followers_count:304, statuses_count:3533, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309880233690021890 546 4.083694 2013-2013-baseline# TResult(id:309880233690021890, rsv:4.0836944580078125, screen_name:CareyTylerVox, epoch:1362716179, text:Search for rock star clothing online, you may as well just shop at Buckle. Kind of no way to avoid looking like a giant douche these days., followers_count:31, statuses_count:9, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311876294579195904 547 4.083694 2013-2013-baseline# TResult(id:311876294579195904, rsv:4.0836944580078125, screen_name:MissPiaaBaby, epoch:1363192077, text:Now I really gotta get my grades up and lookin' nice.... Papa Seth just bought me a shit load of clothes online after my mom said no. 😱, followers_count:528, statuses_count:21026, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315153207804428288 548 4.083694 2013-2013-baseline# TResult(id:315153207804428288, rsv:4.0836944580078125, screen_name:LESCLOTHINGCO, epoch:1363973354, text:Available In-Store and Online! 25% OFF !!!! LES™ Clothing Co. Store located at 43 Clinton St. (Btwn Stanton &amp;... http://t.co/tK6i7RrJKz, followers_count:173, statuses_count:4533, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306104395383316480 549 4.083694 2013-2013-baseline# TResult(id:306104395383316480, rsv:4.0836944580078125, screen_name:versacel0ser, epoch:1361815949, text:looking at clothes online and singing and I was like 'yo thats fifty dollars for a tshirt' and dad goes 'why arent u getting it in £?' omg, followers_count:2904, statuses_count:21055, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306529303540162560 550 4.083694 2013-2013-baseline# TResult(id:306529303540162560, rsv:4.0836944580078125, screen_name:JarydTamares, epoch:1361917255, text:"You know what I'm gonna do tonight?!?! I'm gonna get hiiiiigh and buy clothes online with my parents credit card!" - @zwett98, followers_count:175, statuses_count:4716, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299591308153069569 551 4.083694 2013-2013-baseline# TResult(id:299591308153069569, rsv:4.0836944580078125, screen_name:katharinemissin, epoch:1360263108, text:"can you help make tea" "i'm working" "no katharine, I can see you looking for clothes online in the window reflection" #caughtredhanded, followers_count:201, statuses_count:2008, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299591555621199872 552 4.083694 2013-2013-baseline# TResult(id:299591555621199872, rsv:4.0836944580078125, screen_name:LeanneCoyne, epoch:1360263167, text:@EdelBurke_ I think they are not fully sure :P same as that tbh but still heading out sure (y) and so much clothes I want online too #Money, followers_count:217, statuses_count:3605, lang:null, in_reply_to_status_id:299590645784395777, in_reply_to_user_id:41638497, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 300725708009906176 553 4.083694 2013-2013-baseline# TResult(id:300725708009906176, rsv:4.0836944580078125, screen_name:SholaAW, epoch:1360533570, text:When you have a nice body, you don't want any clothes. When you have a body you're not happy with, you want everything you see online #true, followers_count:462, statuses_count:1201, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315511535571193856 554 4.083694 2013-2013-baseline# TResult(id:315511535571193856, rsv:4.0836944580078125, screen_name:columbophobia, epoch:1364058786, text:If I had money I'd be happy. Cause if I had money I could move out, buy really nice clothes, drink a lot more alcohol and shop online 24/7., followers_count:512, statuses_count:9848, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314579150214164480 555 4.083694 2013-2013-baseline# TResult(id:314579150214164480, rsv:4.0836944580078125, screen_name:novy_ethaaa, epoch:1363836488, text:"@don_naaaa: "@_JackVeitch: Do you ever just look at clothes online and cry because you can't afford them? " my sister @novy_ethaaa" likeduh, followers_count:626, statuses_count:82438, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306580130111823872 556 4.083694 2013-2013-baseline# TResult(id:306580130111823872, rsv:4.0836944580078125, screen_name:Iklan_JualBeli, epoch:1361929373, text:via @BeauteThings: An online store for make up, skin care, sun care, accessories, softlens, cloths, dress, shoes &amp; many more ALL IMPORT!, followers_count:12, statuses_count:19985, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 297183496647094272 557 4.083694 2013-2013-baseline# TResult(id:297183496647094272, rsv:4.0836944580078125, screen_name:Chelchie11, epoch:1359689041, text:Uh oh, now that I got my visa I am not hesitant about going to look at clothes online since I know I can get them.. :S, followers_count:144, statuses_count:2111, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302808125428350976 558 4.083694 2013-2013-baseline# TResult(id:302808125428350976, rsv:4.0836944580078125, screen_name:bearheadedgirl, epoch:1361030057, text:Quick Poll: - Do you online shop for clothes? If so, where?  Why do you like that retailer?  What do you... http://t.co/mMokjVMJ, followers_count:194, statuses_count:29141, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302176224187392000 559 4.083694 2013-2013-baseline# TResult(id:302176224187392000, rsv:4.0836944580078125, screen_name:Bom_Iklan, epoch:1360879400, text:"Warung Sepatu Online" The Real Clothing Shoes Original HandMade, for More Info : PIN BB 2784437A / 0813-143-414-02 - @CekkyFuture, followers_count:588, statuses_count:9979, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309072721122320384 560 4.046534 2013-2013-baseline# TResult(id:309072721122320384, rsv:4.046534061431885, screen_name:_JupiterHaze, epoch:1362523653, text:Clothes. Clothes. Clothes. Clothes. Clothes. Clothes. &gt;&gt;&gt;&gt;&gt;&gt;, followers_count:470, statuses_count:24149, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308306119791632384 561 4.046534 2013-2013-baseline# TResult(id:308306119791632384, rsv:4.046534061431885, screen_name:annascottpiano, epoch:1362340881, text:Clothes out of suitcase, clothes into washer, clothes back in suitcase, clothes out of suitcase, clothes into washer, clothes into suitcase., followers_count:269, statuses_count:5959, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315874657460965376 562 3.872597 2013-2013-baseline# TResult(id:315874657460965376, rsv:3.8725974559783936, screen_name:Steph_xoo, epoch:1364145361, text:clothes clothes clothes clothes and more clothes, yet I have nothing to wear, followers_count:226, statuses_count:1719, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302563387794141184 563 3.862726 2013-2013-baseline# TResult(id:302563387794141184, rsv:3.8627259731292725, screen_name:iamspazz10, epoch:1360971707, text:Really all in one day? Work clothes, workout clothes, bat mitzvah clothes, babysit clothes, and club clothes. I think I'm doing too much, followers_count:96, statuses_count:591, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 310534800953982976 564 3.654609 2013-2013-baseline# TResult(id:310534800953982976, rsv:3.654608726501465, screen_name:sayvay_25, epoch:1362872240, text:clothes, clothes, clothes, clothes. I love you. so much. 👠👚👗👙👜❤, followers_count:208, statuses_count:2360, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309656350110126080 565 3.649675 2013-2013-baseline# TResult(id:309656350110126080, rsv:3.649674892425537, screen_name:lukemorris_8, epoch:1362662801, text:Take off your clothes, take off your clothes, that's what she said, take off your clothes, takes off your clothes and come to bed, followers_count:67, statuses_count:3458, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315843862864224256 566 3.649675 2013-2013-baseline# TResult(id:315843862864224256, rsv:3.649674892425537, screen_name:RecklessYoungen, epoch:1364138019, text:The clothes for winter &gt;&gt;&gt; clothes for summer..... Summer clothes is always skanky clothes :) lmao, followers_count:267, statuses_count:14746, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 304609658683928576 567 3.649675 2013-2013-baseline# TResult(id:304609658683928576, rsv:3.649674892425537, screen_name:Sabbagh_Anas, epoch:1361459576, text:Lord of the Ring Clothing: Lord of the Ring clothes by Black Milk Clothing.More Lord of the Ring clothes here... http://t.co/Ahj3hCAFDm, followers_count:956, statuses_count:15861, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 313244019348094976 568 3.649675 2013-2013-baseline# TResult(id:313244019348094976, rsv:3.649674892425537, screen_name:Shmilty, epoch:1363518168, text:Mental note self.. . Red clothes cause white clothes to go pink.... Blue clothes make white clothes blue.... #Annoyed, followers_count:978, statuses_count:11464, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311083092947374080 569 3.380240 2013-2013-baseline# TResult(id:311083092947374080, rsv:3.380239963531494, screen_name:Purrs_n_Paws, epoch:1363002963, text:#AWorldForUs clothes clothes clothes, followers_count:152, statuses_count:3698, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 305734034141622273 570 3.379751 2013-2013-baseline# TResult(id:305734034141622273, rsv:3.379750967025757, screen_name:Cgrieves24, epoch:1361727648, text:Clothes on clothes on clothes, followers_count:123, statuses_count:87, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
